FID	IID	sex	ancestry
HG00096	HG00096	M	EUR
HG00097	HG00097	F	EUR
HG00098	HG00098	M	EUR
HG00099	HG00099	F	EUR
HG00100	HG00100	F	EUR
HG00101	HG00101	M	EUR
HG00102	HG00102	F	EUR
HG00103	HG00103	M	EUR
HG00104	HG00104	F	EUR
HG00105	HG00105	M	EUR
HG00106	HG00106	F	EUR
HG00107	HG00107	M	EUR
HG00108	HG00108	M	EUR
HG00109	HG00109	M	EUR
HG00110	HG00110	F	EUR
HG00111	HG00111	F	EUR
HG00112	HG00112	M	EUR
HG00113	HG00113	M	EUR
HG00114	HG00114	M	EUR
HG00115	HG00115	M	EUR
HG00116	HG00116	M	EUR
HG00117	HG00117	M	EUR
HG00118	HG00118	F	EUR
HG00119	HG00119	M	EUR
HG00120	HG00120	F	EUR
HG00121	HG00121	F	EUR
HG00122	HG00122	F	EUR
HG00123	HG00123	F	EUR
HG00124	HG00124	F	EUR
HG00125	HG00125	F	EUR
HG00126	HG00126	M	EUR
HG00127	HG00127	F	EUR
HG00128	HG00128	F	EUR
HG00129	HG00129	M	EUR
HG00130	HG00130	F	EUR
HG00131	HG00131	M	EUR
HG00132	HG00132	F	EUR
HG00133	HG00133	F	EUR
HG00134	HG00134	F	EUR
HG00135	HG00135	F	EUR
HG00136	HG00136	M	EUR
HG00137	HG00137	F	EUR
HG00138	HG00138	M	EUR
HG00139	HG00139	M	EUR
HG00140	HG00140	M	EUR
HG00141	HG00141	M	EUR
HG00142	HG00142	M	EUR
HG00143	HG00143	M	EUR
HG00144	HG00144	F	EUR
HG00145	HG00145	M	EUR
HG00146	HG00146	F	EUR
HG00147	HG00147	F	EUR
HG00148	HG00148	M	EUR
HG00149	HG00149	M	EUR
HG00150	HG00150	F	EUR
HG00151	HG00151	M	EUR
HG00152	HG00152	M	EUR
HG00153	HG00153	F	EUR
HG00154	HG00154	F	EUR
HG00155	HG00155	M	EUR
HG00156	HG00156	M	EUR
HG00157	HG00157	M	EUR
HG00158	HG00158	F	EUR
