FID	IID	phenotype_sim	genetic_score	error_term
HG00096	HG00096	-0.3772467117643984	-0.46062002883991227	0.08337331707551385
HG00097	HG00097	-0.027604777321486657	0	-0.027604777321486657
HG00099	HG00099	-0.10953536891961392	-0.07403518511627336	-0.035500183803340565
HG00100	HG00100	0.12487779250485695	0.11612905012443663	0.008748742380420331
HG00101	HG00101	0.39390792051288853	0.16868234745856608	0.22522557305432245
HG00102	HG00102	-0.023457785452598245	-0.10690379836596547	0.08344601291336723
HG00103	HG00103	-0.005492244354651704	-0.13673379521351303	0.13124155085886133
HG00104	HG00104	0.35353115914331446	0.103266618354246	0.25026454078906846
HG00105	HG00105	0.1364494436417036	0.019626269303262243	0.11682317433844136
HG00106	HG00106	0.21129186051721652	0.25390841825865207	-0.04261655774143556
HG00107	HG00107	0.021716583735686662	0.12132955889683217	-0.0996129751611455
HG00108	HG00108	-0.32732774186822683	-0.21593275150517	-0.11139499036305683
HG00109	HG00109	0.2068106410142221	0.21238379505230115	-0.005573154038079024
HG00110	HG00110	-0.22033495737893527	-0.33777819718234237	0.1174432398034071
HG00111	HG00111	0.32683167084652265	0.22150980980368334	0.10532186104283932
HG00112	HG00112	0.10382670665647421	0.09806610958185044	0.005760597074623772
HG00113	HG00113	-0.416594002718917	-0.3430897132318933	-0.07350428948702373
HG00114	HG00114	-0.37953543854638655	-0.47258828085614363	0.09305284230975708
HG00115	HG00115	0.4220045179077393	0.255183421052061	0.16682109685567828
HG00116	HG00116	0.3111522096549295	0.255183421052061	0.05596878860286852
HG00117	HG00117	-0.09930062019276606	-0.02390314304502681	-0.07539747714773924
HG00118	HG00118	-0.07902616251903602	-0.2046815819805488	0.1256554194615128
HG00119	HG00119	0.1487305888819219	0.14488133417908103	0.0038492547028408687
HG00120	HG00120	-0.24646234120876906	-0.265416323893005	0.018953982684235943
HG00121	HG00121	0.14432560466526229	0.09806610958185044	0.046259495083411845
HG00122	HG00122	-0.17827111728567507	-0.13553481197450312	-0.04273630531117194
HG00123	HG00123	-0.47514801841427035	-0.4768066186225042	0.001658600208233821
HG00125	HG00125	-0.37097625763620734	-0.44146416783332826	0.07048791019712092
HG00126	HG00126	0.11272407344801505	0.015539141361671518	0.09718493208634353
HG00127	HG00127	-0.3250183839672895	-0.26296922366600484	-0.06204916030128467
HG00128	HG00128	-0.40883311286017937	-0.3232464131433517	-0.0855866997168277
HG00129	HG00129	-0.09994796565402467	-0.10690379836596547	0.006955832711940806
HG00130	HG00130	-0.20632311659445174	-0.10170328959356993	-0.1046198270008818
HG00131	HG00131	-0.11355569484067773	0.16133114341646432	-0.27488683825714205
HG00132	HG00132	0.0031430890977368897	0.11612905012443663	-0.11298596102669974
HG00133	HG00133	-0.10232995999904591	-0.016161483270116142	-0.08616847672892977
HG00134	HG00134	0.10059338904294157	-0.05541399568319322	0.1560073847261348
HG00135	HG00135	0.18312513776586858	0.08161630034446717	0.1015088374214014
HG00136	HG00136	0.0772104872260054	-0.027188955293968337	0.10439944251997374
HG00137	HG00137	-0.15130377786087837	-0.03971325855236501	-0.11159051930851337
HG00138	HG00138	-0.1635030555729149	-0.056372605892829594	-0.1071304496800853
HG00139	HG00139	0.08012274693342514	-0.016659347340464592	0.09678209427388973
HG00140	HG00140	9.417716542800894e-4	-0.016161483270116142	0.01710325492439623
HG00141	HG00141	-0.19055861330517468	-0.10093358450103553	-0.08962502880413915
HG00142	HG00142	0.04529080841690861	0.02946188326459377	0.01582892515231483
HG00143	HG00143	0.04787126229366722	0.09806610958185044	-0.05019484728818322
HG00145	HG00145	0.16251666538511264	0.25910892703104765	-0.09659226164593501
HG00146	HG00146	-0.20485945398570451	-0.19348604016704485	-0.01137341381865966
HG00148	HG00148	0.30443887395363467	0.19584389319643378	0.10859498075720089
HG00149	HG00149	1.6473301323188805e-4	0.12132955889683217	-0.12116482588360028
HG00150	HG00150	-0.1591313513157544	0.017640854965429775	-0.17677220628118417
HG00151	HG00151	0.06675030450119304	0.11591951202135531	-0.04916920752016226
HG00152	HG00152	0.13541320579593552	0.103266618354246	0.03214658744168953
HG00154	HG00154	0.10635282288028652	-0.03971325855236501	0.14606608143265154
HG00155	HG00155	0.14438870907576792	-0.00933555285446347	0.1537242619302314
HG00156	HG00156	-0.33436895558151153	-0.30041210241615773	-0.033956853165353816
HG00157	HG00157	-0.026128573964679713	0.08161630034446717	-0.10774487430914688
HG00158	HG00158	-0.536102390274579	-0.38702587117441	-0.149076519100169
HG00159	HG00159	-0.04943397270035066	-0.024159303307533256	-0.025274669392817407
HG00160	HG00160	0.23046686693356516	0.24265911779366434	-0.012192250860099181
HG00171	HG00171	0.09123229760639778	0.15613063464406876	-0.06489833703767098
HG00173	HG00173	-0.06086040898522201	-0.09216798446024767	0.031307575475025655
HG00174	HG00174	-0.0746864191569017	-0.08696747568785212	0.012281056530950426
HG00176	HG00176	-0.02561951675209264	0.05806452506221831	-0.08368404181431095
HG00177	HG00177	0.08651374914639912	0.026471575465984665	0.06004217368041445
HG00178	HG00178	0.05681329593028195	0.08140676224138588	-0.02459346631110393
HG00179	HG00179	-0.03512581222355769	-0.016659347340464592	-0.0184664648830931
HG00180	HG00180	-0.6607891659168426	-0.6631048430223019	0.002315677105459317
HG00181	HG00181	-0.15247022206232347	-0.10400506379082798	-0.048465158271495494
HG00182	HG00182	-0.20608116765243945	-0.13229053339455277	-0.07379063425788666
HG00183	HG00183	0.21919084687711893	0.08894009483046829	0.13025075204665065
HG00185	HG00185	0.3555604554424904	0.29911051155067975	0.05644994389181061
HG00186	HG00186	-0.7662653328950462	-0.585760898096487	-0.18050443479855913
HG00187	HG00187	0.1651634498411268	0.12132955889683217	0.043833890944294615
HG00188	HG00188	-0.10601870997476275	0.038090186667628576	-0.14410889664239132
HG00189	HG00189	0.11862515244764125	0.023342237179167558	0.0952829152684737
HG00190	HG00190	-0.1145204823055816	-0.04222224385011946	-0.07229823845546214
HG00231	HG00231	0.18427011401772464	0.1793940839590505	0.004876030058674163
HG00232	HG00232	-0.04022416780834505	0.11612905012443663	-0.15635321793278167
HG00233	HG00233	-0.20668486181730672	0.023551775282248853	-0.23023663709955558
HG00234	HG00234	0.3875788739171552	0.2717825168409152	0.11579635707623999
HG00235	HG00235	0.05085601524192958	0.12132955889683217	-0.07047354365490259
HG00236	HG00236	-0.38491441525810666	-0.2275322018074803	-0.1573822134506264
HG00237	HG00237	-0.20708140619749563	-0.25891656066407454	0.05183515446657891
HG00238	HG00238	-0.1864174389186135	-0.07992438117507844	-0.10649305774353507
HG00239	HG00239	-0.09513568581267573	-0.0998411235399544	0.004705437727278675
HG00240	HG00240	-0.2373768513504539	-0.3221815944986884	0.0848047431482345
HG00242	HG00242	-0.3308635786680959	-0.37413135503884404	0.04326777637074813
HG00243	HG00243	0.012567274851150778	-0.03971325855236501	0.05228053340351579
HG00244	HG00244	0.05622769098260031	0.08161630034446717	-0.025388609361866855
HG00245	HG00245	0.09519614166253487	0.14488133417908103	-0.049685192516546156
HG00246	HG00246	0.32705451729216956	0.20104440196882933	0.12601011532334022
HG00249	HG00249	-0.05142167439285879	-0.10791969436686487	0.05649801997400608
HG00250	HG00250	-0.24717654910183556	-0.21271277863997967	-0.034463770461855885
HG00251	HG00251	0.15017177448703067	0.07769079436548056	0.07248098012155012
HG00252	HG00252	-0.009299042657393564	-0.09570825655246151	0.08640921389506795
HG00253	HG00253	0.18054151336385016	0.14361685009207575	0.03692466327177442
HG00254	HG00254	0.275763675881711	0.11740405291784556	0.15835962296386544
HG00255	HG00255	0.20708144333999803	0.20104440196882933	0.006037041371168687
HG00256	HG00256	0.15445652178114888	0.1415854286286049	0.01287109315254397
HG00257	HG00257	-0.6049020023042521	-0.5198230749345385	-0.08507892736971358
HG00258	HG00258	-0.31542768837732427	-0.42528280436526983	0.10985511598794556
HG00259	HG00259	-0.10202512915894289	0.018610373302362856	-0.12063550246130575
HG00260	HG00260	0.0184729690077573	-0.03971325855236501	0.05818622756012231
HG00261	HG00261	0.019178449647020854	-0.06719053981360049	0.08636898946062134
HG00262	HG00262	-0.1776726121229231	-0.2759778124745935	0.09830520035167042
HG00263	HG00263	-0.005796466164100178	0.12132955889683217	-0.12712602506093235
HG00264	HG00264	0.29628560406642834	0.2963918796624057	-1.062755959773899e-4
HG00265	HG00265	-0.1985609254187093	-0.10246990961022678	-0.09609101580848249
HG00266	HG00266	-0.1335405006426732	-0.2594614312518388	0.1259209306091656
HG00267	HG00267	0.1379354882744261	0.22459617725107817	-0.08666068897665208
HG00268	HG00268	-0.013533836771366967	-0.03843825575895607	0.024904418987589102
HG00269	HG00269	0.2740438799780479	0.2826607023132965	-0.008616822335248565
HG00270	HG00270	-0.36015475532299607	-0.3108663212042302	-0.04928843411876588
HG00271	HG00271	-0.0033481160779582388	0.023551775282248853	-0.026899891360207092
HG00272	HG00272	0.08140553529081734	0.12132955889683217	-0.039924023606014825
HG00273	HG00273	-0.23584629913561014	-0.14141654814593496	-0.09442975098967518
HG00274	HG00274	0.32282864298579134	0.22150980980368334	0.10131883318210799
HG00275	HG00275	-0.1541764590140385	-0.1133060521678999	-0.0408704068461386
HG00276	HG00276	0.045444680773886054	0.06355335980188098	-0.018108679027994925
HG00277	HG00277	0.23450463565091784	0.11612905012443663	0.1183755855264812
HG00278	HG00278	-0.10278492407552192	0.05806452506221831	-0.16084944913774024
HG00280	HG00280	-0.2669572447862418	-0.03971325855236501	-0.22724398623387676
